Iteration,ExecutionTime
726,1.9084000000002543e-05
727,1.8957999999957842e-05
728,1.8999999999991246e-05
729,1.895899999998507e-05
730,2.491599999998595e-05
731,2.387500000000653e-05
732,2.2540999999987044e-05
733,1.862499999999434e-05
734,1.8791999999989706e-05
735,1.8666000000000516e-05
736,1.8790999999962477e-05
737,1.8583000000016447e-05
738,1.8542000000010272e-05
739,1.8874999999973774e-05
740,2.449999999998287e-05
741,2.4542000000016273e-05
742,2.283299999999988e-05
743,1.8541000000038554e-05
744,1.8750000000011813e-05
745,1.8917000000007178e-05
746,1.8666999999972234e-05
747,1.9082999999975314e-05
748,1.8791000000017988e-05
749,1.850000000003238e-05
750,2.429100000000961e-05
751,2.366700000000499e-05
752,2.2750000000015813e-05
753,1.850000000003238e-05
754,1.8750000000011813e-05
755,1.8375000000014907e-05
756,1.8709000000005638e-05
757,1.820799999996403e-05
758,1.8791000000017988e-05
759,1.8582999999960936e-05
760,2.4332999999987504e-05
761,2.4042000000001895e-05
762,2.2334000000012733e-05
763,1.850000000003238e-05
764,1.850000000003238e-05
765,1.8582999999960936e-05
766,1.870799999997841e-05
767,1.8583000000016447e-05
768,1.8374999999959396e-05
769,1.8709000000005638e-05
770,2.3707999999955653e-05
771,2.3916999999984423e-05
772,2.2542000000014273e-05
773,1.8583000000016447e-05
774,1.8791999999989706e-05
775,1.8666999999972234e-05
776,1.9540999999956288e-05
777,2.3709000000038394e-05
778,2.4041999999946384e-05
779,2.0374999999961396e-05
780,2.3832999999973126e-05
781,2.354200000004303e-05
782,2.2750000000015813e-05
783,1.8041999999995895e-05
784,1.870800000003392e-05
785,1.8542000000010272e-05
786,1.84169999999928e-05
787,1.820899999999126e-05
788,1.8541000000038554e-05
789,1.8334000000008732e-05
790,2.4000000000024002e-05
791,2.3083000000034826e-05
792,2.283400000002711e-05
793,1.8375000000014907e-05
794,1.8375000000014907e-05
795,1.8208000000019542e-05
796,1.8374999999959396e-05
797,1.8249999999997435e-05
798,1.829200000003084e-05
799,1.8041999999995895e-05
800,2.3916000000012705e-05
801,2.3834000000000355e-05
802,2.262499999999834e-05
803,1.8374999999959396e-05
804,1.862499999999434e-05
805,1.8334000000008732e-05
806,1.862499999999434e-05
807,1.8459000000026204e-05
808,1.8750000000011813e-05
809,1.8333000000037014e-05
810,2.3832999999973126e-05
811,2.3124999999957208e-05
812,2.2542000000014273e-05
813,1.8249999999997435e-05
814,1.8332999999981503e-05
815,1.8125000000035474e-05
816,1.850000000003238e-05
817,1.84169999999928e-05
818,1.8208000000019542e-05
819,1.829100000000361e-05
820,2.3625000000027097e-05
821,3.0542000000022274e-05
822,2.133300000001226e-05
823,1.8457999999998975e-05
824,1.862499999999434e-05
825,1.8459000000026204e-05
826,1.84169999999928e-05
827,1.7958999999956315e-05
828,1.8457999999998975e-05
829,1.8166999999957856e-05
830,2.820799999997403e-05
831,2.387500000000653e-05
832,2.1624999999969585e-05
833,2.5082999999981315e-05
834,1.870799999997841e-05
835,1.862499999999434e-05
836,1.8291999999975328e-05
837,1.8249999999997435e-05
838,1.850000000003238e-05
839,1.8125000000035474e-05
840,2.3791000000050744e-05
841,2.4124999999985963e-05
842,2.2791000000021988e-05
843,2.524999999997668e-05
844,1.8916999999951667e-05
845,1.8416000000021082e-05
846,1.862499999999434e-05
847,1.8333000000037014e-05
848,2.291700000001118e-05
849,1.8459000000026204e-05
850,2.345800000003173e-05
851,2.3582999999993692e-05
852,2.2958000000017353e-05
853,2.429100000000961e-05
854,1.8750000000011813e-05
855,1.8457999999998975e-05
856,1.8375000000014907e-05
857,1.84169999999928e-05
858,1.8582999999960936e-05
859,1.8416000000021082e-05
860,2.3790999999995233e-05
